                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2279,                 13.654,                 1.3796,                0.04924,                0.28571,                0.06374,                0.00892,                 2.2997,                 21.902,                 1.7958,                 0.0003,                 0.0003,                 0.0003
                      2,                 2.0783,                  16.51,                 1.2211,                 0.0062,                0.14286,                0.00347,                0.00184,                 1.9635,                 49.289,                 1.8541,             0.00061386,             0.00061386,             0.00061386
                      3,                 2.0863,                 22.122,                 1.3299,                0.00408,                0.42857,                0.00309,                0.00083,                 2.3371,                 154.21,                 1.7523,             0.00092139,             0.00092139,             0.00092139
                      4,                  2.615,                 17.025,                 1.6473,                0.00201,                0.57143,                0.00176,                0.00051,                 3.0824,              5.256e+05,                 555.38,              0.0012226,              0.0012226,              0.0012226
                      5,                 1.9168,                 14.078,                 1.3611,                0.00201,                0.57143,                0.00176,                0.00051,                 4.3316,             4.4718e+05,                 464.53,              0.0015174,              0.0015174,              0.0015174
                      6,                 2.5479,                 16.605,                 1.6238,                0.00201,                0.57143,                0.00176,                0.00051,                 4.3316,             4.4718e+05,                 464.53,               0.001806,               0.001806,               0.001806
                      7,                 2.7492,                 11.803,                 2.0845,                0.00201,                0.57143,                0.00176,                0.00051,                 6.4873,             2.2969e+06,                  14588,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.5864,                  6.252,                 1.8498,                0.00201,                0.57143,                0.00176,                0.00051,                 6.4873,             2.2969e+06,                  14588,              0.0018812,              0.0018812,              0.0018812
                      9,                 3.0586,                 6.0691,                 2.1453,                0.00201,                0.57143,                0.00176,                0.00051,                 3.0566,             8.7236e+06,             2.5833e+05,              0.0018614,              0.0018614,              0.0018614
                     10,                  2.932,                 5.5226,                   2.02,                0.00201,                0.57143,                0.00176,                0.00051,                 3.0566,             8.7236e+06,             2.5833e+05,              0.0018416,              0.0018416,              0.0018416
